Feature,Importance
s18,0.0080430342297315
s122,0.0079262472043262
s137,0.0078650546747791
s13,0.0077811405517564
s1,0.0076658425453001
s233,0.007653444563049
s226,0.0076213911059714
s33,0.0074801945859676
s133,0.007036487922299
s30,0.0069411965686334
s116,0.0069359144546057
s106,0.0068375108943418
s107,0.0065762429501662
s16,0.0065432306560175
s8,0.0065114145968179
s229,0.0064737078846266
s4,0.0064134604387677
s118,0.0063671086818763
s232,0.006353206172508
s136,0.006351901900656
s123,0.0063250927088229
s11,0.0063056781243678
s220,0.0062555400608352
s110,0.0062418709204204
s14,0.0062414196287521
s231,0.0061814441676522
s27,0.0061759397805061
s34,0.0061531160677713
s153,0.006147108929703
s236,0.006142158432243
s113,0.0060792147238911
s117,0.0060705119130826
s219,0.0060605969682131
s114,0.006050703307092
s225,0.006039773028358
s228,0.0060201516136403
s235,0.006014740085176
s149,0.0060036877596969
s125,0.0059936354877344
s111,0.0059837810027033
s17,0.0059322391971623
s5,0.0059000821785007
s134,0.0058379626155289
s26,0.0058313273673129
s10,0.0058279040715024
s100,0.0058123035302165
s109,0.0058078852567991
s132,0.005804658620365
s227,0.0057948942971739
s218,0.0057878307716921
s112,0.0057859421708311
s124,0.0057681643837791
s108,0.0057561299780418
s6,0.0057191725830151
s135,0.0057115922276871
s230,0.0057111541404882
s234,0.0056931546521902
s7,0.0056596233234599
s12,0.0056579936109197
s129,0.005652896899591
s35,0.0056303628152223
s115,0.0056208627412866
s15,0.0055688729179335
s105,0.0055572753412894
s101,0.005548838060174
s130,0.0055439061290246
s224,0.0055349115159688
s126,0.0055184548499716
s9,0.0055087965019448
s142,0.0055036381494964
s127,0.0054982595612711
s86,0.0054741634787082
s128,0.005414938957056
s214,0.0053867907807353
s211,0.0053865147900555
s21,0.0053629095923278
s145,0.005345990648631
s182,0.0053323601448716
s146,0.0052960651675029
s131,0.0052933357936123
s95,0.0052902311298462
s93,0.0052877591198747
s152,0.005279960529398
s222,0.0052493379399686
s92,0.0052156900075651
s24,0.005190883564555
s217,0.005184005909734
s216,0.0051573097793471
s103,0.0051404426016164
s183,0.0051339220005234
s88,0.0051084204337628
s96,0.0051021062459926
s212,0.0050802612028522
s140,0.0050731551149729
s23,0.0050675903537563
s29,0.0050605838111273
s94,0.0050446913476202
s60,0.0050390708781552
s215,0.0050154449507224
s143,0.0050128264265109
s147,0.0050109594568294
s89,0.0049881089777707
s87,0.0049670847778097
s98,0.0049624636883701
s99,0.0049515402012484
s64,0.0049428712313835
s85,0.0049428182620666
s97,0.0049399957433916
s63,0.0049391610083698
s185,0.004923528437369
s148,0.0048697173403967
s184,0.0048485198464438
s65,0.0048344782447959
s31,0.0048178141302133
s189,0.0048039145523609
s213,0.0047924493193997
s28,0.0047835794450513
s181,0.0047707252747139
s208,0.0047662993923529
s186,0.0047139625740931
s191,0.0046837453167001
s197,0.0046552948463482
s83,0.0046530755812677
s206,0.0046342617052151
s203,0.004626467035992
s194,0.0046204664543669
s190,0.0046099955071033
s187,0.0045998445838772
s68,0.0045941184302359
s207,0.0045737112571518
s76,0.0045588801792161
s202,0.0045483044928761
s179,0.0045329538053446
s75,0.0045325466319724
s84,0.0045226302848676
s196,0.0045171719286022
s201,0.0045166485898731
s154,0.0045165673610967
s198,0.0045012517593724
s32,0.0044828541233925
s67,0.0044746369317605
s66,0.004472571295579
s200,0.0044686264406193
s73,0.0044424030341091
s62,0.0044355769377791
s204,0.0044344302243954
s188,0.0044276280641426
s70,0.0044248080367709
s19,0.0044231353104542
s195,0.0043839630148021
s205,0.0043642354144313
s199,0.0043500993739065
s74,0.0043467661853836
s138,0.0043449727649025
s192,0.0043392265131227
s72,0.0043369428701488
s193,0.0043188266981184
s82,0.0043135979907592
s90,0.0043077412283391
s69,0.0042906971208989
s78,0.0042731527875408
s80,0.0042508489484126
s79,0.0042389838373341
s77,0.0042005534909071
s71,0.0041359000757696
s144,0.0041295112370003
s104,0.0041136508832127
s81,0.0040814333433148
s151,0.0038894566728008
s25,0.003853432954259
s20,0.0038407928681847
s61,0.0038392834499291
s150,0.0037859328487748
s180,0.0036755499696814
s102,0.0036272419633073
s139,0.0035628329103557
s22,0.0035176992706631
s91,0.0034745061040531
s141,0.0034646425335195
s209,0.0033818804913579
s58,0.0033301300106377
s221,0.0033296613371943
s223,0.0033128933197677
s210,0.003210893128289
s55,0.0029816656376307
s177,0.0028708883097172
s56,0.0028416836134832
s57,0.002802641405232
s59,0.0027335326141293
s175,0.0026146483179129
s174,0.0024718222349534
s173,0.0023978420628174
s176,0.0023542850260468
s178,0.0023040234383453
